Brand_Key,Brand_Name,Category_Name,Sector,Category_Key,Energized_Differentiation,Relevance,Esteem,Knowledge,Brand_Stature,Brand_Strength,Brand_Asset,Total_Users_pct,Total_Prefer_pct,Different_pct,Distinctive_pct,Unique_pct,Dynamic_pct,Innovative_pct,Leader_pct,Reliable_pct,High_quality_pct,Arrogant_pct,Authentic_pct,Best_Brand_pct,Carefree_pct,Cares_Customers_pct,Charming_pct,Daring_pct,Down_to_Earth_pct,Energetic_pct,Friendly_pct,Fun_pct,Gaining_In_Popularity_pct,Glamorous_pct,Good_Value_pct,Healthy_pct,Helpful_pct,High_Performance_pct,Independent_pct,Intelligent_pct,Kind_pct,Obliging_pct,Original_pct,Prestigious_pct,Progressive_pct,Restrained_pct,Rugged_pct,Sensuous_pct,Simple_pct,Social_pct,Socially_Responsible_pct,Straightforward_pct,Stylish_pct,Traditional_pct,Trendy_pct,Trustworthy_pct,Unapproachable_pct,Up_To_Date_pct,Upper_Class_pct,Visionary_pct,Worth_More_pct
551,Acura,Automobiles,Auto,5,67.67,16.02,67.53,71.09,71.4,35.26,66.12,2.42,20.59,5.37,10.82,6.56,8.77,9.05,10.69,17.1,20.48,4.97,6.97,5.55,4.69,7.78,3.98,6.71,10.68,6.63,8.06,9.55,7.58,6.08,9.15,2.09,5.15,13.48,7.11,9.17,3.72,4.57,10.25,10.36,7.92,2.87,6.39,2.69,6.39,7.81,7.63,5.9,14.56,5.13,13.45,14.6,4.04,9.29,14.49,9.99,6.68
1779,Alfa Romeo,Automobiles,Auto,5,95.78,0.78,25.93,32.96,32.5,27.13,30.78,0.47,9.54,8.77,17.74,13.66,10.36,6.7,9.2,7.46,18.85,11.19,9.45,3.45,4.97,6.36,4.58,9.36,6.21,6.85,4.31,11.51,3.56,15.11,5.38,4.12,3.34,16.93,10.03,7.52,2.79,3.23,10.91,16.69,6.1,2.93,5.61,5.03,3.43,5.74,5.74,5.34,14.78,5.36,11.14,7.03,8.11,5.96,24.32,7.61,4.96
8496,Aston Martin,Automobiles,Auto,5,94.66,1.58,35.11,39.16,40.05,33.91,40.11,0.57,11.61,7.91,18.22,10.62,11.59,6.63,8.63,8.48,23.58,13.15,9,5.66,4.78,5.88,5.4,10.1,5.23,6.04,4.4,9.28,3.24,18.39,5.01,2.43,2.79,18.49,8.38,8.61,3.37,3.52,10.98,23.9,5.31,3.63,5.1,5.36,5.94,5.95,4.19,4.62,17.87,4.9,12.26,7.7,9.82,6.52,31.58,9.12,8.23
1,Audi,Automobiles,Auto,5,92.08,6,70.08,68.91,71.95,47.6,69.85,0.94,17.63,6.94,16.56,7.44,11.06,9.77,12.81,15.95,27.38,7.45,8.17,5.84,3.74,7.59,4.24,7.8,8.38,6.9,6.69,10.61,6.02,8.91,8.21,2.61,3.65,18.74,7.37,11.55,3.27,3.49,12.57,16.93,7.56,3.15,5.48,2.64,5.59,7,6.04,4.73,16.8,3.71,14.17,14.82,5.5,9.37,25.68,9.46,7.26
8502,Bentley,Automobiles,Auto,5,93.4,1.98,55.58,55.73,58.4,35.92,57.25,0.56,13.04,8.94,17.26,11.77,9.21,6.02,10.6,10.09,26.41,14.02,11.03,8.69,4.33,6.85,6.8,7.36,6.6,6.18,4.42,7.38,4.63,17.29,4.61,2.75,4.05,16.19,9.33,7.33,4.15,4.64,12.07,23.74,6.19,4.6,4.66,5.65,5.18,7.93,6.28,4.33,15.85,8.64,9.7,10.8,13.58,6.17,34.46,8.5,8.57
2,BMW,Automobiles,Auto,5,95.75,17.97,88.49,81.11,87.71,76.08,86.3,2.35,23.99,6.05,18.14,9.39,13.29,10.33,17.96,18.82,33.89,12.52,11.09,8.55,5.09,9.52,6.75,9.07,7.54,8.52,7.05,12.85,6.8,15.48,7.85,2.65,5.64,22.25,8.2,13.17,3.68,4.7,13.28,23.29,10.08,3.7,7.18,4.03,5.1,6.94,6.63,6.83,21.15,6.95,15.27,16.64,8.49,11.16,34.77,10.65,10.86
553,Buick,Automobiles,Auto,5,54.72,53.8,78.35,86.82,83.29,50.9,79.16,4.85,25.46,6.65,9.49,4.89,8.07,8.32,13.26,18.13,17.11,3.44,8.09,6.18,3.34,9.06,4.83,5.68,17.23,5.96,9.26,8.74,6.72,6.2,12.05,3.18,6.05,10.97,6.61,8.73,5.14,5.67,17.4,8.25,6.48,5.75,7.56,2.49,9.82,7.77,8.5,6.92,13.05,14.85,10.05,18.31,4,9.55,10.84,7.51,6.2
3,Cadillac,Automobiles,Auto,5,95.81,16.31,87.94,81.6,87.4,74.96,86.1,3.04,22.81,6.35,19.44,9.8,11.71,10.13,18.61,18.67,32.74,8.86,12.5,11.22,3.83,10.95,5.17,7.39,7.62,6.45,7.2,9.53,5.51,16.64,8.16,2.19,4.24,18.57,7.35,10.5,3.45,4.76,17.93,23.82,9.21,3.41,6.27,3.56,4.68,8.5,6.94,5.66,21.69,13.46,11.99,18.77,6.7,10.58,33.02,10.62,11.04
4,Chevrolet,Automobiles,Auto,5,73.36,88.75,96.24,96.53,96.93,90.12,95.89,18.47,43.97,6.27,10.14,6.11,10.05,9.73,23.06,25.03,19.54,3.51,11.97,10.42,5.19,15.07,5.98,6.24,28.5,9.08,16.03,13.35,8.74,4.53,21.43,3.48,7.77,15.52,7.91,11.03,6.38,5.52,21.27,4.97,9.02,4.4,12.49,2.18,15.71,8.53,10,10.08,14.03,18.25,11.03,27.09,3.21,13.44,6.43,11.59,8.15
5,Chrysler,Automobiles,Auto,5,44.24,60.58,73.36,88.69,80.99,49.15,77.55,6.61,27.76,5.08,9.44,4.81,7.87,8.09,13.28,16.29,15.42,3.21,6.62,5.99,4.32,10.98,4.6,5.62,18.23,7.04,8.1,7.4,6.94,5.12,13.25,3.17,4.8,12.74,8.54,7.38,4.68,5.96,17.3,7.8,7.43,4.75,8.47,2.37,9.8,7.86,6.9,8.05,11.92,12.81,8.87,15.84,4.7,9.54,10.04,9.73,5.9
