Country Code,Country WHO Region,Country Income Group,Year,Expenditure,percapita,%GDP
AFG,EMR,Low,2002,357.1636849,16.24954214,9.44339057
AFG,EMR,Low,2003,403.4212524,17.49073742,8.94125853
AFG,EMR,Low,2004,504.7399773,20.92708722,9.80847323
AFG,EMR,Low,2005,612.89356,24.44651183,9.94828911
AFG,EMR,Low,2006,735.8054278,28.41666243,10.62276563
AFG,EMR,Low,2007,847.4835297,31.84018306,9.90467425
AFG,EMR,Low,2008,1056.292442,38.70049248,10.25649568
AFG,EMR,Low,2009,1184.709507,42.30451021,9.81848731
AFG,EMR,Low,2010,1313.071571,45.5877498,8.56967118
AFG,EMR,Low,2011,1531.57509,51.5532587,8.56190731
AFG,EMR,Low,2012,1602.949296,52.21850635,7.89716844
AFG,EMR,Low,2013,1775.944827,55.96754976,8.8059641
AFG,EMR,Low,2014,1969.175024,60.11276091,9.6523559
AFG,EMR,Low,2015,2027.185889,60.0888133,10.29759481
ALB,EUR,Up-Mid,2000,235.8070184,75.53148121,6.76132337
ALB,EUR,Up-Mid,2001,255.870208,81.9464362,6.51584893
ALB,EUR,Up-Mid,2002,280.2707661,89.85833929,6.43433172
ALB,EUR,Up-Mid,2003,353.360198,113.5839377,6.35372959
ALB,EUR,Up-Mid,2004,470.7969741,151.9804471,6.55977313
ALB,EUR,Up-Mid,2005,510.7293756,165.8654387,6.34283049
ALB,EUR,Up-Mid,2006,527.7748275,172.7955574,5.932672
ALB,EUR,Up-Mid,2007,654.4131496,216.4131204,6.12899956
ALB,EUR,Up-Mid,2008,719.1408978,240.3826174,5.58280539
ALB,EUR,Up-Mid,2009,614.5328948,207.4278117,5.10230605
ALB,EUR,Up-Mid,2010,600.4938352,204.2131372,5.03476136
ALB,EUR,Up-Mid,2011,726.3165357,248.1725872,5.63434989
ALB,EUR,Up-Mid,2012,722.0283803,247.2666907,5.8607223
ALB,EUR,Up-Mid,2013,810.5094892,277.668927,6.34386088
ALB,EUR,Up-Mid,2014,919.6428956,314.8626291,6.9565315
ALB,EUR,Up-Mid,2015,777.3287562,265.9032358,6.82443871
DZA,AFR,Up-Mid,2000,1911.648489,61.30289032,3.48902103
DZA,AFR,Up-Mid,2001,2101.027692,66.50473274,3.83786507
DZA,AFR,Up-Mid,2002,2117.19746,66.17266498,3.73006347
DZA,AFR,Up-Mid,2003,2443.795394,75.41760422,3.60102667
DZA,AFR,Up-Mid,2004,3024.238563,92.11506564,3.54406344
DZA,AFR,Up-Mid,2005,3338.635546,100.2941516,3.23516785
DZA,AFR,Up-Mid,2006,3926.386373,116.2412296,3.35510356
DZA,AFR,Up-Mid,2007,5158.037965,150.3797824,3.82141742
DZA,AFR,Up-Mid,2008,7185.248307,206.1130504,4.20188259
DZA,AFR,Up-Mid,2009,7353.68422,207.3460211,5.35939813
DZA,AFR,Up-Mid,2010,8249.251805,228.3995436,5.11716997
DZA,AFR,Up-Mid,2011,10535.98964,286.1519858,5.26764985
DZA,AFR,Up-Mid,2012,12544.60766,333.9365052,6.00084141
DZA,AFR,Up-Mid,2013,12660.28923,330.2233721,6.03493093
DZA,AFR,Up-Mid,2014,13998.61337,357.8989427,6.54192588
DZA,AFR,Up-Mid,2015,11627.96886,291.6358976,7.05668786
AND,EUR,Hi,2000,134.0918421,2050.647532,9.34810142
AND,EUR,Hi,2001,140.155167,2081.275405,9.36303175
AND,EUR,Hi,2002,163.3649035,2332.15183,9.42564619
AND,EUR,Hi,2003,220.1553198,3008.326088,9.17867214
AND,EUR,Hi,2004,269.8806354,3539.696702,9.19278737
AND,EUR,Hi,2005,318.3677111,4036.767103,9.77875476
AND,EUR,Hi,2006,344.1502223,4249.240315,9.71331952
AND,EUR,Hi,2007,393.9780137,4764.921613,9.80833812
AND,EUR,Hi,2008,418.0949968,4985.571324,10.4328092
AND,EUR,Hi,2009,398.8226048,4721.917605,10.89586944
AND,EUR,Hi,2010,388.103468,4595.714195,11.56620393
AND,EUR,Hi,2011,407.0713138,4860.494964,11.82564064
AND,EUR,Hi,2012,382.61187,4641.601703,12.09021338
AND,EUR,Hi,2013,464.6443479,5751.403028,14.1583755
AND,EUR,Hi,2014,403.1034889,5088.212878,12.03078576
AND,EUR,Hi,2015,336.6848879,4315.698309,11.97477605
AGO,AFR,Up-Mid,2000,228.5828135,13.90328266,2.50364987
AGO,AFR,Up-Mid,2001,463.8910214,27.31459434,5.19123534
AGO,AFR,Up-Mid,2002,530.0877423,30.16549994,4.24161853
AGO,AFR,Up-Mid,2003,667.4462272,36.66608237,4.70396414
AGO,AFR,Up-Mid,2004,983.6195464,52.13793881,5.00803971
AGO,AFR,Up-Mid,2005,1122.854119,57.42752626,3.97699155
AGO,AFR,Up-Mid,2006,1504.82723,74.26698242,3.60097135
AGO,AFR,Up-Mid,2007,1944.211737,92.59170959,3.21629104
AGO,AFR,Up-Mid,2008,2945.704735,135.3760686,3.49937473
AGO,AFR,Up-Mid,2009,2706.044725,120.0043941,3.58452225
AGO,AFR,Up-Mid,2010,2260.939422,96.7489729,2.74149872
AGO,AFR,Up-Mid,2011,2960.159558,122.2268767,2.84313911
AGO,AFR,Up-Mid,2012,3073.800033,122.4809396,2.66495273
AGO,AFR,Up-Mid,2013,3738.242293,143.78773,2.99269854
AGO,AFR,Up-Mid,2014,3549.248281,131.8420075,2.799603
AGO,AFR,Up-Mid,2015,3024.39321,108.5595355,2.94697845
ATG,AMR,Hi,2000,31.85185185,381.0759458,4.06358087
ATG,AMR,Hi,2001,34.81481481,409.3115771,4.4993945
ATG,AMR,Hi,2002,35.08057873,406.6559099,4.37125029
ATG,AMR,Hi,2003,37.82944093,433.3616777,4.50352473
ATG,AMR,Hi,2004,37.45929639,424.4342816,4.16976287
ATG,AMR,Hi,2005,43.72389625,489.8871327,4.38390143
ATG,AMR,Hi,2006,49.20370952,544.8855442,4.33457696
ATG,AMR,Hi,2007,54.56276196,597.0908828,4.23211378
ATG,AMR,Hi,2008,62.56799401,676.5716605,4.64378818
ATG,AMR,Hi,2009,57.81870504,617.8466252,4.74817518
ATG,AMR,Hi,2010,63.68793341,672.8001332,5.54808738
ATG,AMR,Hi,2011,65.42967956,683.5599991,5.73013736
ATG,AMR,Hi,2012,61.95756674,640.2096236,5.09503945
ATG,AMR,Hi,2013,64.12615626,655.5258041,5.36221691
ATG,AMR,Hi,2014,72.32734106,731.5028173,5.67570032
