income,idapp,Education,income Groups,generation,Facebook,Flickr,Fox.com,LinkedIn,NYTimes.com,Weather.com,TripAdvisor.com,WSJ.com,Validation,Smart phone linear,smart_phone
82499.5,6610,College degree,72500 - 1e+5,Older Boomers (55-65),0,0,0,0,0,0,0,0,0,0,No
52499.5,12807,College degree,31250 - 52500,Gen Y (18-30),0,0,0,0,0,0,0,0,0,0,No
52499.5,13087,College degree,31250 - 52500,Gen Y (18-30),1,0,0,0,0,0,0,0,0,0,No
16249.5,21427,College degree,Low - 31250,Seniors (66+),0,0,0,0,0,0,0,0,0,0,No
72499.5,22346,College degree,52500 - 72500,Older Boomers (55-65),0,0,0,0,0,0,0,0,0,0,No
112499.5,24672,College degree,72500 - 1e+5,Older Boomers (55-65),0,0,0,0,0,0,0,1,1,0,No
112499.5,26474,College degree,72500 - 1e+5,Older Boomers (55-65),0,0,0,0,0,0,0,0,0,0,No
36249.5,26961,College degree,31250 - 52500,Gen X (31-44),0,0,0,0,0,0,0,0,0,0,No
137499.5,37068,College degree,1e+5 - High,Younger Boomers (45-54),1,0,0,0,1,1,0,0,1,0,No
33749.5,39924,College degree,31250 - 52500,Gen Y (18-30),1,0,1,0,0,1,0,0,0,0,No
112499.5,42895,College degree,72500 - 1e+5,Younger Boomers (45-54),1,0,0,0,0,0,0,0,1,0,No
162499.5,43592,College degree,1e+5 - High,Older Boomers (55-65),0,0,0,0,0,0,0,0,0,0,No
112499.5,48480,College degree,72500 - 1e+5,Seniors (66+),0,0,0,0,0,0,0,0,0,0,No
43749.5,55706,College degree,31250 - 52500,Younger Boomers (45-54),0,0,0,0,0,0,0,0,1,0,No
224999.5,56767,College degree,1e+5 - High,Seniors (66+),0,0,0,0,0,0,0,0,0,0,No
67499.5,57665,College degree,52500 - 72500,Gen Y (18-30),0,0,0,0,0,0,0,0,0,0,No
82499.5,59426,College degree,72500 - 1e+5,Seniors (66+),0,0,0,0,0,1,0,0,0,0,No
112499.5,59944,College degree,72500 - 1e+5,Older Boomers (55-65),0,0,0,0,0,0,0,0,1,0,No
162499.5,61153,College degree,1e+5 - High,Older Boomers (55-65),1,0,0,0,1,1,1,0,1,0,No
112499.5,64877,College degree,72500 - 1e+5,Older Boomers (55-65),1,0,0,0,0,0,0,0,0,0,No
