IRI_KEY,FIPS,NAME,State_Name,REGION,DIVISION,Zip_name,Zip_key,per_kids18,per_kids9,per_old,per_white,per_black,hhsize,Per_college,per_hh_less20K,median_inc,capita_inc,Share_Camp,Share_Other,Share_PL,Share_prog
200039,36069,Ontario County,New York,EAST,2,14424 Canandaigua,14424,0.24,0.13,0.16,0.97,0.01,2.43,0.26,0.19,43308,22292,0.557913997,0.057051966,0.152225992,0.232808045
200161,26125,Oakland County,Michigan,MIDWEST,3,48322 West Bloomfield,48322,0.25,0.13,0.17,0.8,0.07,2.64,0.49,0.07,87740,44543,0.321540888,0.186297702,0.107453319,0.38470809
200171,55133,Waukesha County,Wisconsin,MIDWEST,3,53045 Brookfield,53045,0.27,0.13,0.17,0.94,0.01,2.69,0.47,0.07,80346,40251,0.636677806,0.090114656,0.087404205,0.185803333
200197,17143,Peoria County,Illinois,MIDWEST,3,61603 Peoria,61603,0.31,0.18,0.1,0.61,0.32,2.54,0.12,0.34,30196,14243,0.563281122,0.031295854,0.341822374,0.063600651
200272,6037,Los Angeles County,California,WEST,9,91101 Pasadena,91101,0.16,0.1,0.13,0.54,0.12,1.85,0.47,0.28,38187,26427,0.401353722,0.181441491,0.097601893,0.319602894
200287,6075,San Francisco County,California,WEST,9,94134 San Francisco,94134,0.24,0.13,0.13,0.19,0.13,3.71,0.17,0.17,54342,17070,0.417762076,0.178864432,0.089108676,0.314264816
200297,41039,Lane County,Oregon,WEST,9,97477 Springfield,97477,0.25,0.15,0.13,0.89,0.01,2.43,0.14,0.31,31673,16054,0.527508866,0.13001851,0.189261124,0.1532115
200334,41047,Marion County,Oregon,WEST,9,97302 Salem,97302,0.25,0.13,0.15,0.9,0.01,2.38,0.3,0.19,43496,24501,0.560210663,0.096026193,0.187003064,0.156760079
200341,6073,San Diego County,California,WEST,9,91941 La Mesa,91941,0.21,0.12,0.15,0.81,0.05,2.37,0.3,0.19,45916,24977,0.467277095,0.107196704,0.178018098,0.247508103
200379,13051,Chatham County,Georgia,SOUTH,5,31410 Savannah,31410,0.25,0.14,0.1,0.89,0.06,2.54,0.39,0.09,60182,28935,0.545323875,0.050271128,0.278828263,0.125576734
200411,36103,Suffolk County,New York,EAST,2,11757 Lindenhurst,11757,0.26,0.15,0.11,0.93,0.01,3.04,0.16,0.12,61536,22829,0.436912333,0.067809,0.040212679,0.455065988
200415,51023,Botetourt County,Virginia,SOUTH,5,24175 Troutville,24175,0.22,0.11,0.14,0.95,0.03,2.59,0.23,0.15,50296,23341,0.639392133,0.03656217,0.231816366,0.092229331
200439,35001,Bernalillo County,New Mexico,WEST,8,87110 Albuquerque,87110,0.2,0.1,0.2,0.8,0.02,2.22,0.32,0.22,39670,22440,0.549856642,0.04191882,0.245089696,0.163134842
200479,6085,Santa Clara County,California,WEST,9,95121 San Jose,95121,0.28,0.16,0.07,0.26,0.05,4.11,0.18,0.07,75326,21058,0.625037818,0.093455977,0.071653256,0.20985295
200485,40109,Oklahoma County,Oklahoma,SOUTH,7,73106 Oklahoma City,73106,0.26,0.14,0.07,0.51,0.13,2.55,0.21,0.47,21705,12126,0.687487785,0.038604886,0.12756932,0.146338009
200488,25027,Worcester County,Massachusetts,EAST,1,01606 Worcester,1606,0.21,0.12,0.16,0.87,0.06,2.35,0.24,0.18,44689,21266,0.352715192,0.113331182,0.112985493,0.420968132
200489,48201,Harris County,Texas,SOUTH,7,77071 Houston,77071,0.29,0.16,0.08,0.29,0.54,2.69,0.33,0.2,43444,20294,0.74471417,0.053548796,0.156762587,0.044974446
200492,6037,Los Angeles County,California,WEST,9,90025 Los Angeles,90025,0.11,0.07,0.12,0.66,0.03,1.9,0.53,0.21,47806,35178,0.342068412,0.201967775,0.151410455,0.304553358
200494,55087,Outagamie County,Wisconsin,MIDWEST,3,54914 Appleton,54914,0.25,0.14,0.11,0.92,0.01,2.44,0.27,0.14,46865,23258,0.573713734,0.059145192,0.253383757,0.113757316
200499,40109,Oklahoma County,Oklahoma,SOUTH,7,73120 Oklahoma City,73120,0.18,0.11,0.16,0.76,0.16,2,0.38,0.2,39657,30016,0.730294894,0.053910732,0.05833005,0.157464325
200501,6001,Alameda County,California,WEST,9,94578 San Leandro,94578,0.25,0.15,0.12,0.44,0.19,2.53,0.18,0.17,44723,20598,0.546504571,0.142294122,0.086179782,0.225021526
200510,25013,Hampden County,Massachusetts,EAST,1,01129 Springfield,1129,0.25,0.13,0.14,0.78,0.14,2.49,0.17,0.14,46076,21320,0.391011733,0.105407767,0.067225165,0.436355334
200511,48141,El Paso County,Texas,SOUTH,7,79936 El Paso,79936,0.36,0.2,0.04,0.69,0.02,3.41,0.18,0.16,42857,14871,0.791433049,0.028759938,0.119716897,0.060090116
200522,6013,Contra Costa County,California,WEST,9,94598 Walnut Creek,94598,0.22,0.11,0.18,0.82,0.01,2.48,0.52,0.07,85479,43000,0.41537151,0.196404597,0.082174064,0.306049828
200531,40109,Oklahoma County,Oklahoma,SOUTH,7,73118 Oklahoma City,73118,0.2,0.12,0.12,0.69,0.14,2.08,0.36,0.27,35086,22575,0.77682801,0.068477908,0.074571302,0.080122779
200539,37119,Mecklenburg County,North Carolina,SOUTH,5,28203 Charlotte,28203,0.22,0.13,0.1,0.55,0.43,2.08,0.37,0.31,38918,31752,0.578545225,0.053777541,0.164990034,0.2026872
200541,35001,Bernalillo County,New Mexico,WEST,8,87112 Albuquerque,87112,0.24,0.13,0.15,0.79,0.03,2.37,0.28,0.2,40762,21072,0.746497314,0.038111346,0.100201997,0.115189343
200542,55009,Brown County,Wisconsin,MIDWEST,3,54311 Green Bay,54311,0.26,0.14,0.08,0.95,0.01,2.65,0.24,0.1,55928,22835,0.540730553,0.070185127,0.275636346,0.113447974
200553,6059,Orange County,California,WEST,9,92865 Orange,92865,0.27,0.15,0.11,0.73,0.02,3.02,0.23,0.13,55512,21689,0.514689278,0.116244508,0.135277405,0.233788809
200563,6073,San Diego County,California,WEST,9,92104 San Diego,92104,0.22,0.14,0.08,0.57,0.12,2.21,0.24,0.29,31139,18465,0.769618671,0.085349475,0,0.145031854
200566,40143,Tulsa County,Oklahoma,SOUTH,7,74135 Tulsa,74135,0.18,0.11,0.23,0.82,0.07,2.01,0.3,0.24,37103,23871,0.763352314,0.067610314,0.067677742,0.10135963
200569,55059,Kenosha County,Wisconsin,MIDWEST,3,53144 Kenosha,53144,0.26,0.15,0.1,0.82,0.09,2.52,0.19,0.18,43146,20794,0.831884704,0.003514837,0.140136599,0.02446386
200575,6073,San Diego County,California,WEST,9,92058 Oceanside,92058,0.25,0.14,0.12,0.78,0.11,2.57,0.27,0.18,50281.45,24632.73,0.540342618,0.094988486,0.186997923,0.177670973
200578,23019,Penobscot County,Maine,EAST,1,04412 Brewer,4412,0.22,0.12,0.17,0.98,0,2.3,0.24,0.25,36949,20158,0.480992061,0.119691203,0.168861801,0.230454935
200587,6073,San Diego County,California,WEST,9,92117 San Diego,92117,0.2,0.11,0.15,0.77,0.02,2.45,0.29,0.16,47245,23514,0.576114994,0.164224335,0.064526703,0.195133968
200606,40113,Osage County,Oklahoma,SOUTH,7,74127 Tulsa,74127,0.26,0.15,0.13,0.59,0.25,2.48,0.15,0.33,30486,15569,0.876440362,0.023622162,0.064818583,0.035118892
200610,55079,Milwaukee County,Wisconsin,MIDWEST,3,53110 Cudahy,53110,0.23,0.13,0.16,0.94,0.01,2.31,0.12,0.21,40017,19620,0.677487353,0.050649868,0.127674316,0.144188463
200612,40125,Pottawatomie County,Oklahoma,SOUTH,7,74804 Shawnee,74804,0.23,0.13,0.15,0.82,0.02,2.45,0.21,0.27,35288,18444,0.641237458,0.05158821,0.144829541,0.16234479
200620,40143,Tulsa County,Oklahoma,SOUTH,7,74115 Tulsa,74115,0.31,0.18,0.12,0.65,0.15,2.59,0.06,0.33,28760,13123,0.875463213,0.020700414,0.070168492,0.033667881
200623,22051,Jefferson Parish,Louisiana,SOUTH,7,70056 Gretna,70056,0.28,0.16,0.08,0.59,0.31,2.75,0.19,0.21,41526,18430,0.729121072,0.07637306,0.089726911,0.104778957
200626,55079,Milwaukee County,Wisconsin,MIDWEST,3,53213 Milwaukee,53213,0.25,0.13,0.13,0.94,0.02,2.3,0.47,0.12,51951,28061,0.767718736,0.07023905,0.066883696,0.095158519
200633,25017,Middlesex County,Massachusetts,EAST,1,02138 Cambridge,2138,0.1,0.06,0.09,0.77,0.06,1.85,0.77,0.18,55726,36553,0.262775938,0.165606625,0.077783036,0.493834401
200635,49035,Salt Lake County,Utah,WEST,8,84084 West Jordan,84084,0.38,0.21,0.03,0.88,0.01,3.65,0.16,0.07,54521,16462,0.632416435,0.029453661,0.229848081,0.108281822
200642,6041,Marin County,California,WEST,9,94941 Mill Valley,94941,0.2,0.12,0.13,0.9,0.01,2.22,0.68,0.1,91283,59386,0.421937766,0.189884891,0.038345227,0.349832116
200655,6037,Los Angeles County,California,WEST,9,90212 Beverly Hills,90212,0.19,0.08,0.15,0.85,0.02,1.99,0.57,0.17,61039,49922,0.339793616,0.272723601,0.083241125,0.304241658
202312,31109,Lancaster County,Nebraska,MIDWEST,4,68528 Lincoln,68528,0.21,0.13,0.08,0.87,0.03,2.31,0.24,0.19,41923,23858,0.602233996,0.01167668,0.24178941,0.144299914
202530,37071,Gaston County,North Carolina,SOUTH,5,28054 Gastonia,28054,0.22,0.13,0.16,0.79,0.16,2.35,0.2,0.25,38575,20985,0.68595374,0.030073534,0.220181903,0.063790824
202738,51810,Virginia Beach city,Virginia,SOUTH,5,23462 Virginia Beach,23462,0.28,0.16,0.08,0.59,0.32,2.63,0.18,0.15,41298,17958,0.634085709,0.031254421,0.205777331,0.128882539
202785,51087,Henrico County,Virginia,SOUTH,5,23294 Henrico,23294,0.18,0.1,0.1,0.7,0.14,2.06,0.33,0.13,43525,24288,0.617675549,0.040450228,0.171581332,0.170292891
202790,47059,Greene County,Tennessee,SOUTH,6,37743 Greeneville,37743,0.22,0.12,0.16,0.95,0.03,2.36,0.14,0.34,29877,16279,0.631352132,0.041787366,0.242113014,0.084747487
202798,45035,Dorchester County,South Carolina,SOUTH,5,29420 North Charleston,29420,0.34,0.19,0.04,0.54,0.38,2.97,0.25,0.17,46366,18273,0.549243007,0.05219304,0.124642857,0.273921097
202898,36059,Nassau County,New York,EAST,2,11762 Massapequa Park,11762,0.25,0.15,0.17,0.97,0,3.04,0.28,0.06,79202,29666,0.302953602,0.070370026,0.047689671,0.5789867
203001,34029,Ocean County,New Jersey,EAST,2,08753 Toms River,8753,0.25,0.13,0.13,0.94,0.01,2.72,0.21,0.15,56526,24589,0.500687908,0.078824365,0.000180736,0.420306991
203010,51041,Chesterfield County,Virginia,SOUTH,5,23832 Chesterfield,23832,0.29,0.15,0.06,0.76,0.2,2.86,0.27,0.04,61738,23287,0.679088296,0.023390319,0.184283591,0.113237794
203018,48113,Dallas County,Texas,SOUTH,7,75081 Richardson,75081,0.25,0.13,0.08,0.71,0.08,2.62,0.36,0.1,60597,27136,0.661098638,0.099075668,0.099338828,0.140486867
